# ACTS Test Suite Generation: Tue Jul 30 11:10:09 CEST 2019
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 5
# Number of configurations: 26
cert,c_name,c_sig,g_name,HRR,resume
rsa,TLS_AES_256_GCM_SHA384,default,P-256,false,false
rsa,TLS_AES_128_GCM_SHA256,SHA256,P-384,true,true
rsa,TLS_AES_256_GCM_SHA384,SHA384,P-521,true,false
rsa,TLS_AES_128_GCM_SHA256,SHA512,default,false,true
rsa-pss,TLS_AES_256_GCM_SHA384,default,P-384,true,true
rsa-pss,TLS_AES_128_GCM_SHA256,SHA256,P-521,false,false
rsa-pss,TLS_AES_256_GCM_SHA384,SHA384,default,false,true
rsa-pss,TLS_AES_128_GCM_SHA256,SHA512,P-256,true,false
ecdsa-p256,TLS_AES_128_GCM_SHA256,default,P-521,false,true
ecdsa-p384,TLS_AES_256_GCM_SHA384,default,default,false,false
ecdsa-p521,TLS_AES_128_GCM_SHA256,default,P-256,true,true
rsa,TLS_AES_256_GCM_SHA384,SHA256,default,false,true
rsa,TLS_AES_128_GCM_SHA256,SHA256,P-256,false,true
rsa,TLS_AES_128_GCM_SHA256,SHA384,P-256,false,false
rsa,TLS_AES_256_GCM_SHA384,SHA384,P-384,false,false
rsa,TLS_AES_256_GCM_SHA384,SHA512,P-384,true,true
rsa,TLS_AES_128_GCM_SHA256,SHA512,P-521,true,false
ecdsa-p256,TLS_AES_256_GCM_SHA384,default,default,false,false
ecdsa-p521,TLS_AES_256_GCM_SHA384,default,default,false,false
ecdsa-p256,TLS_AES_128_GCM_SHA256,default,P-256,true,false
ecdsa-p384,TLS_AES_128_GCM_SHA256,default,P-256,true,true
ecdsa-p256,TLS_AES_256_GCM_SHA384,default,P-384,false,true
ecdsa-p384,TLS_AES_256_GCM_SHA384,default,P-384,false,true
ecdsa-p521,TLS_AES_128_GCM_SHA256,default,P-384,false,true
ecdsa-p384,TLS_AES_128_GCM_SHA256,default,P-521,true,true
ecdsa-p521,TLS_AES_256_GCM_SHA384,default,P-521,true,false
